Date,Price,Fund Return,FR-RF,Mkt-RF,ESG,SMB,HML,TSMOM,RMW,CMA,RF,QMJ,BAB,UMD,TSMOM,Carry,ESG,E,S,G
9/30/17,13.503173,0.027337416,2.6437416,2.51,-2.24395,4.74,3.09,2.150986104,-1.5,1.63,0.09,-0.333887185,-0.191250243,-1.444545525,2.150986104,0.29612,-2.24395,-2.9448892,2.8989258,1.5009075
10/31/17,13.790627,0.021287885,2.0387885,2.25,3.04212,-1.95,0.22,2.424441679,0.85,-3.23,0.09,2.159701636,0.262942881,5.408748981,2.424441679,2.33016,3.04212,1.3752142,2.36463,2.8652592
11/30/17,14.17869,0.02813962,2.733962,3.12,-1.6665908,-0.35,-0.05,-1.382664051,3.17,-0.1,0.08,2.25690507,1.997585963,-0.018041911,-1.382664051,-0.04032,-1.6665908,0.2098283,-0.74978,-0.1601825
12/31/17,13.783441,-0.027876271,-2.8776271,1.06,-1.6049375,-1.07,0.03,4.28796167,0.75,1.66,0.09,-1.560124626,0.476583151,-2.404780536,4.28796167,0.80352,-1.6049375,-0.8567133,-2.4018125,0.477915
1/31/18,15.11944,0.096927828,9.5827828,5.58,0.420215,-3.25,-1.36,1.672160363,-0.72,-1.01,0.11,0.896554228,-0.038106324,3.689327397,1.672160363,-1.057534199,0.420215,4.5588258,3.3935708,6.1400858
2/28/18,14.528722,-0.039070098,-4.0170098,-3.65,3.6912808,0.32,-1.03,-5.457861467,0.56,-2.32,0.11,1.686518862,-1.948468539,4.054999706,-5.457861467,-1.763994094,3.6912808,4.3850083,2.6113692,0.2226308
3/31/18,14.311875,-0.014925401,-1.6125401,-2.35,-0.7408533,3.59,-0.23,-1.340075219,-0.48,0,0.12,-0.261475727,2.460876506,-0.954559476,-1.340075219,0.578921858,-0.7408533,-3.4614867,-1.6025775,1.5084133
4/30/18,14.341785,0.002089873,0.0689873,0.29,-1.038615,0.91,0.48,0.95359698,-2.41,1.26,0.14,-1.426706314,0.087941707,-1.222732278,0.95359698,2.490487436,-1.038615,-2.43539,6.129195,5.9387308
5/31/18,14.625929,0.019812318,1.8412318,2.65,1.1174375,4.79,-3.13,-2.109834487,-2.05,-1.48,0.14,-0.59409232,0.618655163,2.473911737,-2.109834487,0.558115901,1.1174375,-0.66537,2.1006225,2.1007533
6/30/18,14.700703,0.005112427,0.3712427,0.48,-1.2036575,0.81,-2.33,-0.073753614,0.82,0.21,0.14,0.773063056,2.423173856,-2.24042189,-0.073753614,1.473208092,-1.2036575,0.2968533,-0.0371092,1.0223008
7/31/18,15.201694,0.034079391,3.2479391,3.19,2.815055,-1.95,0.45,-0.276680264,1.53,0.36,0.16,1.523340371,-0.368532082,-1.434563483,-0.276680264,-0.860237406,2.815055,0.2435592,0.0868542,-2.0117392
8/31/18,15.695207,0.032464342,3.0864342,3.44,2.2157183,0.63,-3.98,2.74199598,-0.29,-2.64,0.16,0.382543491,-1.225661414,4.810672811,2.74199598,-0.273265792,2.2157183,4.6277983,7.4072517,2.2886775
9/30/18,15.702685,0.000476451,-0.1023549,0.06,0.6599042,-2.5,-1.7,-1.483479377,0.67,1.28,0.15,0.270556135,-0.617811734,0.128755502,-1.483479377,0.680773897,0.6599042,0.2152017,-0.5634583,0.4664483
10/31/18,14.506289,-0.076190537,-7.8090537,-7.68,0.4624725,-4.5,3.43,-0.533356342,1,3.54,0.19,3.644601818,2.115598337,-1.419316669,-0.533356342,-1.533564847,0.4624725,1.73875,-5.6713083,-2.89703
11/30/18,14.887639,0.026288598,2.4488598,1.69,-1.6970983,-0.76,0.26,-2.557524857,-0.62,0.4,0.18,2.209989817,-0.100485049,-0.981235788,-2.557524857,-2.600128149,-1.6970983,-1.8553633,1.4213442,-0.3405017
12/31/18,12.382689,-0.168257035,-17.0157035,-9.55,1.3719492,-2.91,-1.9,-0.449451577,-0.03,0.2,0.19,1.460813081,-0.039520272,2.501588205,-0.449451577,-3.421279815,1.3719492,-0.1905742,2.66303,-0.6079133
